points,hand_card_1,hand_card_2,hand_card_3,hand_card_4,cut_card
0,KS,AD,JS,3D,8D
0,KS,AD,JS,3D,9D
0,KS,AD,JS,3D,TD
2,KS,AD,JS,3D,JD
3,KS,AD,JS,3D,QD
2,KS,AD,JS,3D,KD
8,KS,AD,JS,3D,2S
3,KS,AD,JS,3D,3S
5,KS,AD,JS,3D,4S
5,KS,AD,JS,3D,5S
1,KS,AD,JS,3D,6S
1,KS,AD,JS,3D,7S
1,KS,AD,JS,3D,8S
1,KS,AD,JS,3D,9S
7,KS,AD,JS,3D,AS
7,KS,AD,JS,3D,2C
2,KS,AD,JS,3D,3C
4,KS,AD,JS,3D,4C
4,KS,AD,JS,3D,5C
0,KS,AD,JS,3D,6C
0,KS,AD,JS,3D,7C
0,KS,AD,JS,3D,8C
0,KS,AD,JS,3D,9C
0,KS,AD,JS,3D,TC
2,KS,AD,JS,3D,JC
3,KS,AD,JS,3D,QC
2,KS,AD,JS,3D,KC
6,KS,AD,JS,3D,AC
