,dealt_hand,max_hand,max_hand_ev_points,max_hand_max_points,max_hand_median_points,max_hand_stdev_points,median_hand,median_hand_ev_points,median_hand_max_points,median_hand_median_points,median_hand_stdev_points,ev_hand,ev_hand_ev_points,ev_hand_max_points,ev_hand_median_points,ev_hand_stdev_points,max_v_median_diff,max_v_ev_diff,median_v_ev_diff
77,"2H,3H,4H,5H,7H,QS","3H,4H,5H,7H",12.0,18,12.0,3.148191720831359,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5217391304347831,-0.5217391304347831,0.0
78,"2H,3H,4H,5H,7H,KS","3H,4H,5H,7H",12.0,18,12.0,3.148191720831359,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5217391304347831,-0.5217391304347831,0.0
79,"2H,3H,4H,5H,7H,AS","3H,4H,5H,7H",12.08695652173913,18,12.0,3.0610534639530136,"2H,3H,4H,5H",12.630434782608695,16,12.0,2.2346632423618744,"2H,3H,4H,5H",12.630434782608695,16,12.0,2.2346632423618744,-0.5434782608695645,-0.5434782608695645,0.0
80,"2H,3H,4H,5H,7H,2C","2H,3H,4H,2C",12.347826086956522,18,12.0,2.152181232603568,"2H,3H,4H,5H",12.478260869565217,16,12.0,2.373362644339439,"2H,3H,4H,5H",12.478260869565217,16,12.0,2.373362644339439,-0.13043478260869534,-0.13043478260869534,0.0
81,"2H,3H,4H,5H,7H,3C","3H,4H,5H,3C",13.73913043478261,21,12.0,3.2210059340294825,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.325244779592926,"3H,4H,5H,3C",13.73913043478261,21,12.0,3.2210059340294825,1.304347826086957,0.0,-1.304347826086957
82,"2H,3H,4H,5H,7H,4C","3H,4H,5H,4C",11.782608695652174,20,10.0,3.3193911321088247,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.325244779592926,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.325244779592926,-0.6521739130434785,-0.6521739130434785,0.0
83,"2H,3H,4H,5H,7H,5C","3H,4H,5H,5C",12.478260869565217,20,12.0,2.9494943478861866,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.325244779592926,"3H,4H,5H,5C",12.478260869565217,20,12.0,2.9494943478861866,0.04347826086956452,0.0,-0.04347826086956452
84,"2H,3H,4H,5H,7H,6C","3H,4H,5H,7H",11.956521739130435,18,12.0,3.147884804747682,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,-0.5434782608695645,-0.5434782608695645,0.0
85,"2H,3H,4H,5H,7H,7C","3H,4H,5H,7H",11.956521739130435,18,12.0,3.147884804747682,"2H,3H,4H,5H",12.565217391304348,16,12.0,2.353740983701794,"2H,3H,4H,5H",12.565217391304348,16,12.0,2.353740983701794,-0.6086956521739122,-0.6086956521739122,0.0
86,"2H,3H,4H,5H,7H,8C","3H,4H,5H,7H",11.956521739130435,18,12.0,3.147884804747682,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5652173913043477,-0.5652173913043477,0.0
87,"2H,3H,4H,5H,7H,9C","3H,4H,5H,7H",12.043478260869565,18,12.0,3.1195193485829793,"2H,3H,4H,5H",12.565217391304348,16,12.0,2.353740983701794,"2H,3H,4H,5H",12.565217391304348,16,12.0,2.353740983701794,-0.5217391304347831,-0.5217391304347831,0.0
88,"2H,3H,4H,5H,7H,TC","3H,4H,5H,7H",12.0,18,12.0,3.148191720831359,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5217391304347831,-0.5217391304347831,0.0
89,"2H,3H,4H,5H,7H,JC","3H,4H,5H,7H",12.0,18,12.0,3.148191720831359,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5217391304347831,-0.5217391304347831,0.0
90,"2H,3H,4H,5H,7H,QC","3H,4H,5H,7H",12.0,18,12.0,3.148191720831359,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5217391304347831,-0.5217391304347831,0.0
91,"2H,3H,4H,5H,7H,KC","3H,4H,5H,7H",12.0,18,12.0,3.148191720831359,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5217391304347831,-0.5217391304347831,0.0
92,"2H,3H,4H,5H,7H,AC","3H,4H,5H,7H",12.08695652173913,18,12.0,3.0610534639530136,"2H,3H,4H,5H",12.630434782608695,16,12.0,2.2346632423618744,"2H,3H,4H,5H",12.630434782608695,16,12.0,2.2346632423618744,-0.5434782608695645,-0.5434782608695645,0.0
93,"2H,3H,4H,5H,8H,9H","3H,4H,5H,8H",11.76086956521739,18,12.0,3.034503676120112,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,-0.7391304347826093,-0.7391304347826093,0.0
94,"2H,3H,4H,5H,8H,TH","3H,4H,5H,8H",11.717391304347826,18,11.5,3.0453100077788897,"2H,3H,4H,5H",12.456521739130435,16,12.0,2.3917127450997255,"2H,3H,4H,5H",12.456521739130435,16,12.0,2.3917127450997255,-0.7391304347826093,-0.7391304347826093,0.0
95,"2H,3H,4H,5H,8H,JH","3H,4H,5H,8H",11.717391304347826,18,11.5,3.0453100077788897,"2H,3H,4H,5H",12.456521739130435,16,12.0,2.3917127450997255,"2H,3H,4H,5H",12.456521739130435,16,12.0,2.3917127450997255,-0.7391304347826093,-0.7391304347826093,0.0
96,"2H,3H,4H,5H,8H,QH","3H,4H,5H,8H",11.717391304347826,18,11.5,3.0453100077788897,"2H,3H,4H,5H",12.456521739130435,16,12.0,2.3917127450997255,"2H,3H,4H,5H",12.456521739130435,16,12.0,2.3917127450997255,-0.7391304347826093,-0.7391304347826093,0.0
97,"2H,3H,4H,5H,8H,KH","3H,4H,5H,8H",11.717391304347826,18,11.5,3.0453100077788897,"2H,3H,4H,5H",12.456521739130435,16,12.0,2.3917127450997255,"2H,3H,4H,5H",12.456521739130435,16,12.0,2.3917127450997255,-0.7391304347826093,-0.7391304347826093,0.0
98,"2H,3H,4H,5H,8H,AH","3H,4H,5H,8H",11.76086956521739,18,12.0,3.034503676120112,"2H,3H,4H,5H",12.478260869565217,16,12.0,2.3920157044707677,"2H,3H,4H,5H",12.478260869565217,16,12.0,2.3920157044707677,-0.7173913043478262,-0.7173913043478262,0.0
99,"2H,3H,4H,5H,8H,2D","2H,3H,4H,2D",12.304347826086955,18,12.0,2.1793940566373675,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.3818962932274825,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.3818962932274825,-0.13043478260869712,-0.13043478260869712,0.0
